ID	IPA	TYPE	PLACE	MANNER	MISCA	MISCB
1086	æ̃	vowel	front_unrounded	higher_low	nasalized	plain
1087	æ	vowel	front_unrounded	higher_low	plain	plain
1088	æː	vowel	front_unrounded	higher_low	plain	long
1089	e	vowel	front_unrounded	higher_mid	plain	plain
1090	ẽ	vowel	front_unrounded	higher_mid	nasalized	plain
1091	eː	vowel	front_unrounded	higher_mid	plain	long
1092	e̥	vowel	front_unrounded	higher_mid	plain	voiceless
1093	ḛ	vowel	front_unrounded	higher_mid	plain	creaky
1094	eʔ	vowel	front_unrounded	higher_mid	glottalized	plain
1095	emf	vowel	front_unrounded	higher_mid	muffled	plain
1096	ẽː	vowel	front_unrounded	higher_mid	nasalized	long
1097	eːː	vowel	front_unrounded	higher_mid	plain	extra_long
1098	ẽʔẽ	vowel	front_unrounded	higher_mid	interrupted_nasalized	plain
1099	ẽ̤ː	vowel	front_unrounded	higher_mid	nasalized	breathy_long
1100	e̤	vowel	front_unrounded	higher_mid	plain	breathy
1101	eʔe	vowel	front_unrounded	higher_mid	interrupted	plain
1102	ẽ̤	vowel	front_unrounded	higher_mid	nasalized	breathy
1103	eˤ	vowel	front_unrounded	higher_mid	pharyngealized	plain
1104	ẽⁿ	vowel	front_unrounded	higher_mid	postnasalized	plain
1105	e̤ː	vowel	front_unrounded	higher_mid	plain	breathy_long
1106	e̞	vowel	front_unrounded	higher_mid	RTR	plain
1107	ei	diphtong	front_unrounded	higher_mid_to_high	plain	plain
1108	eɪ	diphtong	front_unrounded	higher_mid_to_lower_high	plain	plain
1109	ɪ̃	vowel	front_unrounded	lower_high	nasalized	plain
1110	ɪ	vowel	front_unrounded	lower_high	plain	plain
1111	ɪ̥	vowel	front_unrounded	lower_high	plain	voiceless
1112	ɪː	vowel	front_unrounded	lower_high	plain	long
1113	ɪ̃ː	vowel	front_unrounded	lower_high	nasalized	long
1114	ɪ̘	vowel	front_unrounded	lower_high	ATR	plain
1115	ɪɛ	diphtong	front_unrounded	lower_high_to_lower_mid	plain	plain
1116	ɛ̤	vowel	front_unrounded	lower_mid	plain	breathy
1117	ɛː	vowel	front_unrounded	lower_mid	plain	long
1118	ɛ̃ː	vowel	front_unrounded	lower_mid	nasalized	long
1119	ɛ̘	vowel	front_unrounded	lower_mid	ATR	plain
1120	ɛʔ	vowel	front_unrounded	lower_mid	glottalized	plain
1121	ɛ	vowel	front_unrounded	lower_mid	plain	plain
1122	ɛ̃ʔ	vowel	front_unrounded	lower_mid	glottalized_nasalized	plain
1123	ɛ̃	vowel	front_unrounded	lower_mid	nasalized	plain
1124	ɛ̰	vowel	front_unrounded	lower_mid	plain	creaky
1125	ɛ̥	vowel	front_unrounded	lower_mid	plain	voiceless
1126	æ̞	vowel	front_unrounded	lowered_higher_low	plain	plain
1127	ɛ̞	vowel	front_unrounded	lowered_lower_mid	plain	plain
1128	i̝	vowel	front_unrounded	raised_high	plain	plain
1129	i̝ː	vowel	front_unrounded	raised_high	plain	long
1130	e̝ː	vowel	front_unrounded	raised_higher_mid	plain	long
1131	ẽ̝	vowel	front_unrounded	raised_higher_mid	nasalized	plain
1132	e̝	vowel	front_unrounded	raised_higher_mid	plain	plain
1133	i̯o	diphtong	front_unrounded_to_back_rounded	high_glide_to_higher_mid	plain	plain
1134	e̯o	diphtong	front_unrounded_to_back_rounded	higher_mid_glide_to_higher_mid	plain	plain
1135	eu	diphtong	front_unrounded_to_back_rounded	higher_mid_to_high	plain	plain
1136	æu	diphtong	front_unrounded_to_back_rounded	lower_mid_to_high	plain	plain
1137	ɛu	diphtong	front_unrounded_to_back_rounded	lower_mid_to_high	plain	plain
1138	ia	diphtong	front_unrounded_to_central	high_to_low	plain	plain
1139	iə	diphtong	front_unrounded_to_central	high_to_mid	plain	plain
1140	e̯a	diphtong	front_unrounded_to_central	higher_mid_glide_to_low	plain	plain
1141	eə	diphtong	front_unrounded_to_central	higher_mid_to_mid	plain	plain
1142	æɨ	diphtong	front_unrounded_to_central	higher_low_to_high	plain	plain
1143	ɛi	diphtong	front_unrounded	lower_mid_to_high	plain	plain
1144	ij	diphtong	front_unrounded_to_palatal	high_to_glide	plain	plain
1145	ej	diphtong	front_unrounded_to_palatal	higher_mid_to_glide	plain	plain
1146	je	diphtong	palatal_to_front_unrounded	glide_to_higher_mid	plain	plain
1147	jeː	diphtong	palatal_to_front_unrounded	glide_to_higher_mid	plain	long
1148	jẽ	diphtong	palatal_to_front_unrounded	glide_to_higher_mid	nasalized	plain
1149	²	tone	flat	low		
1150	²²	tone	flat	low	low	
1151	²³	tone	rise	low	mid	
1152	²¹	tone	fall	low	low	
1153	²¹²	tone	fall-rise	low	low	low
1154	²¹³	tone	fall-rise	low	low	mid
1155	²¹⁴	tone	fall-rise	low	low	high
1156	²⁴	tone	rise	low	high	
1157	²⁴²	tone	rise-fall	low	high	low
1158	³	tone	flat	mid		
1159	³²	tone	fall	mid	low				
1160	³²⁴	tone	fall-rise	mid	low	high
1161	³³	tone	flat	mid	mid	
1162	³¹	tone	fall	mid	low	
1163	³¹³	tone	fall-rise	mid	low	mid
1164	³⁴	tone	rise	mid	high	
1165	³⁵	tone	rise	mid	high	
1166	¹	tone	flat	low		
1167	¹²	tone	rise	low	low	
1168	¹³	tone	rise	low	mid	
1169	¹¹	tone	flat	low	low	
1170	¹⁵	tone	rise	low	high	
1171	⁰	tone	zero			
1172	⁰²	tone	rise	low	low	
1173	⁰⁴	tone	rise	low	high	
1174	⁴	tone	flat	high		
1175	⁴²	tone	fall	high	low	
1176	⁴³	tone	fall	high	mid	
1177	⁴¹	tone	fall	high	low	
1178	⁴⁴	tone	flat	high	high	
1179	⁴⁴³	tone	fall	high	mid	
1180	⁴⁴⁵	tone	rise	high	high	
1181	⁴⁵	tone	rise	high	high	
1182	⁴⁵⁴	tone	rise-fall	high	high	high
1183	⁵	tone	flat	high		
1184	⁵²	tone	fall	high	low	
1185	⁵³	tone	fall	high	mid	
1186	⁵¹	tone	fall	high	low	
1187	⁵¹³	tone	fall-rise	high	low	mid
1188	⁵⁴	tone	fall	high	high	
1189	⁵⁵	tone	flat	high	high	
1190	_	marker	word_boundary			
1191	∼	marker	nasal_vowel			
1192	+	marker	morpheme_boundary			
